county,state,fips,stayput,inflow,outflow,year
Abbeville,SC,45001,16703,747,852,2017
Acadia,LA,22001,44404,2311,2372,2017
Accomack,VA,51001,25671,468,608,2017
Ada,ID,16001,340040,29714,19710,2017
Adair,KY,21001,12040,369,402,2017
Adair,OK,40001,14629,584,613,2017
Adair,IA,19001,5628,283,199,2017
Adair,MO,29001,14960,348,418,2017
Adams,MS,28001,19899,404,582,2017
Adams,ND,38001,1868,0,0,2017
Adams,OH,39001,19163,621,667,2017
Adams,CO,8001,365537,45126,42446,2017
Adams,PA,42001,83354,4420,3413,2017
Adams,WA,53001,18136,815,634,2017
Adams,NE,31001,24279,772,838,2017
Adams,IA,19003,3097,0,62,2017
Adams,IN,18001,30637,757,745,2017
Adams,IL,17001,53061,819,988,2017
Adams,ID,16003,2682,88,76,2017
Adams,WI,55001,13443,1007,640,2017
Addison,VT,50001,28684,1122,1081,2017
Aiken,SC,45003,120195,5178,5005,2017
Aitkin,MN,27001,11114,605,363,2017
Alachua,FL,12001,160971,10740,13527,2017
Alamance,NC,37001,116811,7088,5160,2017
Alameda,CA,6001,1274891,87817,103022,2017
Alamosa,CO,8003,10357,515,538,2017
Albany,WY,56001,21872,1017,1433,2017
Albany,NY,36001,226090,13194,15197,2017
Albemarle,VA,51003,76256,6343,6425,2017
Alcona,MI,26001,7213,440,203,2017
Alcorn,MS,28003,24332,763,826,2017
Aleutians East,AK,2013,1128,0,0,2017
Alexander,IL,17003,4138,80,190,2017
Alexander,NC,37003,25886,1224,1196,2017
Alexandria,VA,51510,100262,19504,24099,2017
Alfalfa,OK,40003,3477,60,109,2017
Alger,MI,26003,6315,100,104,2017
Allamakee,IA,19005,11710,220,186,2017
Allegan,MI,26005,92882,7955,6272,2017
Allegany,NY,36003,31626,934,1052,2017
Allegany,MD,24001,46530,841,972,2017
Alleghany,VA,51005,11401,322,323,2017
Alleghany,NC,37005,7728,79,80,2017
Allegheny,PA,42003,952015,33471,44642,2017
Allen,KS,20001,9622,124,200,2017
Allen,KY,21003,13454,823,615,2017
Allen,IN,18003,298915,9893,10664,2017
Allen,OH,39003,76746,2467,2745,2017
Allen,LA,22003,15336,588,770,2017
Allendale,SC,45005,5108,155,145,2017
Alpena,MI,26007,22042,428,351,2017
Alpine,CA,6003,576,0,0,2017
Amador,CA,6005,25960,1949,878,2017
Amelia,VA,51007,9966,680,422,2017
Amherst,VA,51009,22795,1073,1093,2017
Amite,MS,28005,8215,376,286,2017
Anchorage,AK,2020,220910,11102,18418,2017
Anderson,KS,20003,6016,201,139,2017
Anderson,SC,45007,143495,7442,5693,2017
Anderson,KY,21005,17783,1160,945,2017
Anderson,TX,48001,32837,1559,1091,2017
Anderson,TN,47001,53924,3693,3409,2017
Andrew,MO,29003,13746,1058,902,2017
Andrews,TX,48003,13702,305,440,2017
Androscoggin,ME,23001,76830,3808,3596,2017
Angelina,TX,48005,63357,2080,2244,2017
Anne Arundel,MD,24003,439306,37685,36078,2017
Anoka,MN,27003,281416,24520,22027,2017
Anson,NC,37007,15708,660,612,2017
Antelope,NE,31003,5279,69,89,2017
Antrim,MI,26009,17344,1158,886,2017
Apache,AZ,4001,46371,3790,3156,2017
Appanoose,IA,19007,9059,205,125,2017
Appling,GA,13001,12631,247,233,2017
Appomattox,VA,51011,11857,658,472,2017
Aransas,TX,48007,15618,1116,1192,2017
Arapahoe,CO,8005,463811,63277,62988,2017
Archer,TX,48009,6485,486,328,2017
Archuleta,CO,8007,9027,118,151,2017
Arenac,MI,26011,11172,611,466,2017
Arkansas,AR,5001,13103,244,351,2017
Arlington,VA,51013,152520,23066,30821,2017
Armstrong,TX,48011,1457,56,0,2017
Armstrong,PA,42005,52903,2052,1931,2017
Aroostook,ME,23003,49781,567,930,2017
Arthur,NE,31005,373,0,0,2017
Ascension,LA,22005,90541,5797,4595,2017
Ashe,NC,37009,18314,497,252,2017
Ashland,WI,55003,11610,212,253,2017
Ashland,OH,39005,39591,2074,1733,2017
Ashley,AR,5003,14458,235,252,2017
Ashtabula,OH,39007,72586,2261,2216,2017
Asotin,WA,53003,15177,857,868,2017
Assumption,LA,22007,16790,716,919,2017
Atascosa,TX,48013,34924,2641,2019,2017
Atchison,KS,20005,11510,331,479,2017
Atchison,MO,29005,4260,0,0,2017
Athens,OH,39009,32640,1079,1493,2017
Atkinson,GA,13003,5645,175,238,2017
Atlantic,NJ,34001,213939,7303,8175,2017
Atoka,OK,40005,8843,243,218,2017
Attala,MS,28007,13302,346,229,2017
Audrain,MO,29007,17964,644,765,2017
Audubon,IA,19009,4569,83,125,2017
Auglaize,OH,39011,38192,1752,1776,2017
Augusta,VA,51015,57080,3357,2952,2017
Aurora,SD,46003,2415,47,39,2017
Austin,TX,48015,22819,1486,1107,2017
Autauga,AL,1001,39711,2979,2853,2017
Avery,NC,37011,11229,390,363,2017
Avoyelles,LA,22009,28432,691,766,2017
Baca,CO,8009,2526,0,0,2017
Bacon,GA,13005,7396,92,192,2017
Bailey,TX,48017,5349,50,594,2017
Baker,OR,41001,11174,357,99,2017
Baker,FL,12003,18159,966,798,2017
Baker,GA,13007,1973,58,49,2017
Baldwin,AL,1003,151156,9258,4590,2017
Baldwin,GA,13009,26227,858,970,2017
Ballard,KY,21007,5685,247,211,2017
Baltimore,MD,24005,629626,47183,50627,2017
Baltimore,MD,24510,353702,32023,46623,2017
Bamberg,SC,45009,8724,270,322,2017
Bandera,TX,48019,14375,1268,671,2017
Banks,GA,13011,12024,1183,962,2017
Banner,NE,31007,512,0,0,2017
Bannock,ID,16005,60006,2491,3046,2017
Baraga,MI,26013,5606,115,102,2017
Barber,KS,20007,3516,0,0,2017
Barbour,AL,1005,15865,366,615,2017
Barbour,WV,54001,10849,326,422,2017
Barnes,ND,38003,8382,156,293,2017
Barnstable,MA,25001,177727,8978,6381,2017
Barnwell,SC,45011,14659,461,701,2017
Barren,KY,21009,31789,1278,1473,2017
Barron,WI,55005,36806,1290,1465,2017
Barrow,GA,13013,54713,6168,4848,2017
Barry,MI,26015,46912,3751,2423,2017
Barry,MO,29009,23876,1605,1477,2017
Bartholomew,IN,18005,66818,2872,3157,2017
Barton,MO,29011,8908,209,237,2017
Barton,KS,20009,20547,262,606,2017
Bartow,GA,13015,74145,5332,4123,2017
Bastrop,TX,48021,58433,6223,3770,2017
Bates,MO,29013,11740,575,485,2017
Bath,KY,21011,8219,462,324,2017
Bath,VA,51017,3431,0,0,2017
Baxter,AR,5005,27823,719,822,2017
Bay,FL,12005,129224,6487,7427,2017
Bay,MI,26017,83161,3012,3042,2017
Bayfield,WI,55007,12061,370,231,2017
Baylor,TX,48023,2433,0,50,2017
Beadle,SD,46005,14729,159,204,2017
Bear Lake,ID,16007,4766,0,41,2017
Beaufort,NC,37013,33763,1100,1069,2017
Beaufort,SC,45013,126763,9363,7422,2017
Beauregard,LA,22011,24465,1539,1234,2017
Beaver,OK,40007,4054,116,59,2017
Beaver,UT,49001,5348,150,186,2017
Beaver,PA,42007,134978,4547,4270,2017
Beaverhead,MT,30001,6722,89,162,2017
Becker,MN,27005,26548,1434,971,2017
Beckham,OK,40009,14626,508,627,2017
Bedford,TN,47003,35329,2308,1791,2017
Bedford,VA,51019,59289,4075,3289,2017
Bedford,PA,42009,38970,807,774,2017
Bee,TX,48025,17980,708,886,2017
Belknap,NH,33001,48377,3824,2878,2017
Bell,TX,48027,235097,30081,29110,2017
Bell,KY,21013,15387,334,532,2017
Belmont,OH,39013,49177,1404,1327,2017
Beltrami,MN,27007,32316,1127,1299,2017
Ben Hill,GA,13017,11363,326,409,2017
Benewah,ID,16009,6533,177,225,2017
Bennett,SD,46007,2109,0,39,2017
Bennington,VT,50003,28525,416,528,2017
Benson,ND,38005,4519,141,116,2017
Bent,CO,8011,2561,64,66,2017
Benton,TN,47005,10784,312,350,2017
Benton,MO,29015,12507,754,385,2017
Benton,MS,28009,5279,460,387,2017
Benton,MN,27009,29991,3484,3554,2017
Benton,OR,41003,56313,4395,5226,2017
Benton,AR,5007,196575,14627,10688,2017
Benton,IA,19011,20897,1141,1040,2017
Benton,WA,53005,151610,12210,8919,2017
Benton,IN,18007,6835,348,321,2017
Benzie,MI,26019,13501,847,755,2017
Bergen,NJ,34003,768467,43222,43556,2017
Berkeley,WV,54003,86226,5477,3506,2017
Berkeley,SC,45015,140625,16952,14503,2017
Berks,PA,42011,333566,12883,11246,2017
Berkshire,MA,25003,96869,1854,1564,2017
Bernalillo,NM,35001,480308,22621,26328,2017
Berrien,GA,13019,11314,669,642,2017
Berrien,MI,26021,117824,4387,4539,2017
Bertie,NC,37015,12649,386,414,2017
Bexar,TX,48029,1412982,90316,83435,2017
Bibb,AL,1007,14126,911,765,2017
Bibb,GA,13021,104311,4942,5972,2017
Bienville,LA,22013,9560,493,505,2017
Big Horn,MT,30003,8977,147,203,2017
Big Horn,WY,56003,8895,175,151,2017
Big Stone,MN,27011,4096,52,35,2017
Billings,ND,38007,753,0,0,2017
Bingham,ID,16011,36406,1972,1768,2017
Black Hawk,IA,19013,95228,2595,4115,2017
Blackford,IN,18009,9137,412,464,2017
Bladen,NC,37017,20914,805,888,2017
Blaine,MT,30005,4652,57,82,2017
Blaine,NE,31009,410,0,0,2017
Blaine,OK,40011,6838,128,234,2017
Blaine,ID,16013,19079,339,371,2017
Blair,PA,42013,96957,1843,1834,2017
Blanco,TX,48031,8187,558,317,2017
Bland,VA,51021,4211,42,108,2017
Bleckley,GA,13023,8266,275,268,2017
Bledsoe,TN,47007,7897,388,408,2017
Blount,AL,1009,40580,2636,1923,2017
Blount,TN,47009,96714,4856,3986,2017
Blue Earth,MN,27013,44689,3066,3573,2017
Boise,ID,16015,4692,642,482,2017
Bolivar,MS,28011,23065,523,937,2017
Bollinger,MO,29017,8366,418,211,2017
Bon Homme,SD,46009,4619,100,83,2017
Bond,IL,17005,11596,619,449,2017
Bonner,ID,16017,30963,1903,1384,2017
Bonneville,ID,16019,89732,5942,5116,2017
Boone,IN,18011,53441,4615,3177,2017
Boone,IL,17007,45200,3475,2780,2017
Boone,NE,31011,4653,0,38,2017
Boone,MO,29019,116828,5445,7052,2017
Boone,WV,54005,15042,402,527,2017
Boone,AR,5009,26371,923,934,2017
Boone,IA,19015,20762,1140,1027,2017
Boone,KY,21015,100004,8162,8026,2017
Borden,TX,48033,476,0,0,2017
Bosque,TX,48035,12529,873,606,2017
Bossier,LA,22015,87563,7601,6984,2017
Botetourt,VA,51023,26470,1719,1359,2017
Bottineau,ND,38009,5352,94,66,2017
Boulder,CO,8013,231835,20091,21752,2017
Boundary,ID,16021,8755,266,239,2017
Bourbon,KY,21017,14734,941,967,2017
Bourbon,KS,20011,10782,187,318,2017
Bowie,TX,48037,66263,3325,3071,2017
Bowman,ND,38011,2619,0,0,2017
Box Butte,NE,31013,8907,52,133,2017
Box Elder,UT,49003,43574,3010,2074,2017
Boyd,NE,31015,1570,0,0,2017
Boyd,KY,21019,32370,1495,1650,2017
Boyle,KY,21021,19663,1251,1208,2017
Bracken,KY,21023,6362,140,196,2017
Bradford,FL,12007,15950,1186,1014,2017
Bradford,PA,42015,48304,1055,855,2017
Bradley,TN,47011,76307,3491,3054,2017
Bradley,AR,5011,7709,94,104,2017
Branch,MI,26023,31838,1208,1391,2017
Brantley,GA,13025,11262,675,484,2017
Braxton,WV,54007,9145,145,103,2017
Brazoria,TX,48039,259212,22437,15868,2017
Brazos,TX,48041,127932,7758,9978,2017
Breathitt,KY,21025,8173,51,67,2017
Breckinridge,KY,21027,14063,781,479,2017
Bremer,IA,19017,19385,1162,769,2017
Brevard,FL,12009,420147,31007,17348,2017
Brewster,TX,48043,6412,192,101,2017
Briscoe,TX,48045,1034,0,0,2017
Bristol,VA,51520,10389,958,1095,2017
Bristol,MA,25005,428282,19665,16115,2017
Bristol,RI,44001,37529,2217,1874,2017
Bristol Bay,AK,2060,613,0,0,2017
Broadwater,MT,30007,4063,282,178,2017
Bronx,NY,36005,1014374,46537,72188,2017
Brooke,WV,54009,16922,680,683,2017
Brookings,SD,46011,22379,622,874,2017
Brooks,TX,48047,5130,67,156,2017
Brooks,GA,13027,10065,728,730,2017
Broome,NY,36007,138787,3388,4233,2017
Broomfield,CO,8014,46888,8466,8041,2017
Broward,FL,12011,1374638,94870,98056,2017
Brown,SD,46013,30388,617,852,2017
Brown,MN,27015,21349,442,606,2017
Brown,IN,18013,11811,923,760,2017
Brown,TX,48049,26450,992,822,2017
Brown,NE,31017,2292,0,0,2017
Brown,WI,55009,216606,8484,8947,2017
Brown,IL,17009,3729,73,76,2017
Brown,OH,39015,31317,2290,2108,2017
Brown,KS,20013,7606,256,151,2017
Brule,SD,46015,4023,55,0,2017
Brunswick,VA,51025,10239,247,296,2017
Brunswick,NC,37019,85988,8961,3702,2017
Bryan,GA,13029,26997,3244,1919,2017
Bryan,OK,40013,28601,1573,1188,2017
Buchanan,VA,51027,13428,201,268,2017
Buchanan,IA,19019,16939,621,639,2017
Buchanan,MO,29021,61125,2204,2932,2017
Buckingham,VA,51029,10239,335,219,2017
Bucks,PA,42017,535173,28753,23931,2017
Buena Vista,VA,51530,4170,257,294,2017
Buena Vista,IA,19021,16916,234,522,2017
Buffalo,WI,55011,10971,441,423,2017
Buffalo,SD,46017,1287,0,0,2017
Buffalo,NE,31019,37136,1263,1600,2017
Bullitt,KY,21029,60327,5549,4237,2017
Bulloch,GA,13031,41466,2644,2319,2017
Bullock,AL,1011,6220,138,170,2017
Buncombe,NC,37021,184969,11887,11237,2017
Bureau,IL,17011,27298,997,794,2017
Burke,NC,37023,62195,2798,2627,2017
Burke,GA,13033,16224,509,748,2017
Burke,ND,38013,1892,0,0,2017
Burleigh,ND,38015,74223,3272,3583,2017
Burleson,TX,48051,13087,828,491,2017
Burlington,NJ,34005,357962,21549,20653,2017
Burnet,TX,48053,33843,3185,2056,2017
Burnett,WI,55013,11977,668,327,2017
Burt,NE,31021,5366,199,162,2017
Butler,NE,31023,6845,158,155,2017
Butler,KY,21031,9401,259,218,2017
Butler,OH,39017,282484,17991,17416,2017
Butler,AL,1013,13808,314,424,2017
Butler,MO,29023,28794,933,1089,2017
Butler,PA,42019,155290,7446,5362,2017
Butler,IA,19023,12094,479,399,2017
Butler,KS,20015,49789,3308,2847,2017
Butte,CA,6007,149133,8212,6421,2017
Butte,ID,16023,1848,0,0,2017
Butte,SD,46019,7437,441,434,2017
Butts,GA,13035,15031,1314,1024,2017
Cabarrus,NC,37025,154198,14618,10634,2017
Cabell,WV,54011,61920,2372,3138,2017
Cache,UT,49005,93806,4418,5712,2017
Caddo,OK,40015,18731,900,932,2017
Caddo,LA,22017,176136,7482,10417,2017
Calaveras,CA,6009,31080,2577,1461,2017
Calcasieu,LA,22019,147468,5724,5092,2017
Caldwell,KY,21033,9086,349,274,2017
Caldwell,LA,22021,6571,211,175,2017
Caldwell,NC,37027,57087,2230,1966,2017
Caldwell,TX,48055,29013,3643,1869,2017
Caldwell,MO,29025,6568,424,328,2017
Caledonia,VT,50005,23125,867,806,2017
Calhoun,IL,17013,3851,51,0,2017
Calhoun,FL,12013,8038,369,444,2017
Calhoun,GA,13037,3318,58,106,2017
Calhoun,WV,54013,4452,0,47,2017
Calhoun,TX,48057,15728,450,752,2017
Calhoun,SC,45017,10054,596,590,2017
Calhoun,AR,5013,3254,80,100,2017
Calhoun,MI,26025,97907,3888,4135,2017
Calhoun,IA,19025,7727,213,251,2017
Calhoun,MS,28013,10492,248,274,2017
Calhoun,AL,1015,80294,2783,3405,2017
Callahan,TX,48059,9609,665,464,2017
Callaway,MO,29027,31277,1841,1616,2017
Calloway,KY,21035,23534,658,786,2017
Calumet,WI,55015,41709,3764,3147,2017
Calvert,MD,24009,72450,4212,2977,2017
Camas,ID,16025,766,0,0,2017
Cambria,PA,42021,103352,2041,2345,2017
Camden,NC,37029,7495,638,376,2017
Camden,NJ,34007,392611,21730,23451,2017
Camden,GA,13039,34568,2429,2690,2017
Camden,MO,29029,30100,2040,1682,2017
Cameron,LA,22023,4987,272,231,2017
Cameron,TX,48061,320670,6461,8348,2017
Cameron,PA,42023,3599,35,75,2017
Camp,TX,48063,9176,421,458,2017
Campbell,WY,56005,37569,610,1555,2017
Campbell,VA,51031,40218,3017,3003,2017
Campbell,TN,47013,25373,767,915,2017
Campbell,SD,46021,1222,0,0,2017
Campbell,KY,21037,66592,4917,4859,2017
Canadian,OK,40017,100388,10974,7664,2017
Candler,GA,13043,7033,212,298,2017
Cannon,TN,47015,9655,887,587,2017
Canyon,ID,16027,155376,15064,10352,2017
Cape Girardeau,MO,29031,56801,2240,2298,2017
Cape May,NJ,34009,73371,3822,2620,2017
Carbon,MT,30009,7557,420,262,2017
Carbon,UT,49007,14400,437,577,2017
Carbon,PA,42025,48227,2763,2025,2017
Carbon,WY,56007,11467,217,307,2017
Caribou,ID,16029,5507,95,90,2017
Carlisle,KY,21039,3739,77,145,2017
Carlton,MN,27017,26488,1316,978,2017
Caroline,VA,51033,21605,2152,1614,2017
Caroline,MD,24011,24680,1716,1407,2017
Carroll,MO,29033,6852,51,93,2017
Carroll,AR,5015,19815,629,722,2017
Carroll,IA,19027,17601,355,426,2017
Carroll,MS,28015,7251,332,331,2017
Carroll,TN,47017,19430,893,914,2017
Carroll,OH,39019,20695,1232,1120,2017
Carroll,IN,18015,15909,1126,964,2017
Carroll,KY,21041,7823,380,378,2017
Carroll,IL,17015,11963,372,380,2017
Carroll,GA,13045,78748,5208,5037,2017
Carroll,VA,51035,20420,777,721,2017
Carroll,MD,24013,140106,8686,6304,2017
Carroll,NH,33003,37360,2601,1493,2017
Carson,TX,48065,4368,356,324,2017
Carson,NV,32510,39475,3728,2898,2017
Carter,MT,30011,1003,0,0,2017
Carter,MO,29035,4166,103,114,2017
Carter,OK,40019,34824,1263,1582,2017
Carter,TN,47019,36874,2007,2037,2017
Carter,KY,21043,19059,491,538,2017
Carteret,NC,37031,48710,2796,2006,2017
Carver,MN,27019,85302,7517,5385,2017
Cascade,MT,30013,61329,2030,2393,2017
Casey,KY,21045,10444,352,221,2017
Cass,MO,29037,79500,6411,5176,2017
Cass,IA,19029,10480,294,273,2017
Cass,IL,17017,10768,329,413,2017
Cass,MN,27021,22166,1653,1171,2017
Cass,TX,48067,21306,939,734,2017
Cass,MI,26027,37458,3025,2357,2017
Cass,NE,31025,20913,1946,1239,2017
Cass,ND,38017,131798,7477,8321,2017
Cass,IN,18017,30335,1138,1245,2017
Cassia,ID,16031,19181,889,1033,2017
Castro,TX,48069,5627,66,82,2017
Caswell,NC,37033,15131,823,814,2017
