county,year,month,cumulative_total_doses,cumulative_fully_vaccinated,cumulative_at_least_one_dose,cumulative_up_to_date_count,id,Date
ALAMEDA,2020,1,0,0,0,0,0,b'2020-01'
ALAMEDA,2020,7,1,0,1,0,1,b'2020-07'
ALAMEDA,2020,8,43,3,40,0,2,b'2020-07'
ALAMEDA,2020,9,104,45,59,0,3,b'2020-07'
ALAMEDA,2020,10,121,51,72,0,4,b'2020-07'
ALAMEDA,2020,11,138,56,87,0,5,b'2020-08'
ALAMEDA,2020,12,24148,89,24066,1,6,b'2020-08'
ALAMEDA,2021,1,153922,29452,124230,1,7,b'2021-08'
ALAMEDA,2021,2,462196,135661,325769,2,8,b'2021-08'
ALAMEDA,2021,3,979526,406271,595980,2,9,b'2021-08'
ALAMEDA,2021,4,1575149,688061,970876,7,10,b'2021-08'
ALAMEDA,2021,5,1965182,961823,1094953,15,11,b'2021-08'
ALAMEDA,2021,6,2124644,1071023,1149758,20,12,b'2021-08'
ALAMEDA,2021,7,2203716,1113027,1188664,24,13,b'2021-08'
ALAMEDA,2021,8,2297162,1152951,1234465,29,14,b'2021-08'
ALAMEDA,2021,9,2387030,1188440,1260359,34,15,b'2021-08'
ALAMEDA,2021,10,2548753,1212033,1279987,45,16,b'2021-08'
ALAMEDA,2021,11,2838749,1236520,1349512,62,17,b'2021-08'
ALAMEDA,2021,12,3199474,1302448,1394826,98,18,b'2021-08'
ALAMEDA,2022,1,3448332,1333575,1430199,121,19,b'2022-08'
ALAMEDA,2022,2,3545639,1353829,1445696,136,20,b'2022-09'
ALAMEDA,2022,3,3592079,1363416,1453181,145,21,b'2022-09'
ALAMEDA,2022,4,3700162,1369029,1459229,154,22,b'2022-09'
ALAMEDA,2022,5,3793234,1373979,1464689,170,23,b'2022-09'
ALAMEDA,2022,6,3871316,1378018,1476623,187,24,b'2022-09'
ALAMEDA,2022,7,3938801,1385468,1491201,209,25,b'2022-09'
ALAMEDA,2022,8,3983593,1393481,1499992,232,26,b'2022-09'
ALAMEDA,2022,9,4103587,1399365,1506840,87192,27,b'2022-09'
ALAMEDA,2022,10,4275392,1403488,1514340,231258,28,b'2022-09'
ALAMEDA,2022,11,4405566,1406490,1520864,347194,29,b'2022-10'
ALAMEDA,2022,12,4496032,1408776,1527039,428939,30,b'2022-10'
ALAMEDA,2023,1,4536093,1410818,1530656,463925,31,b'2023-10'
ALAMEDA,2023,2,4555116,1412195,1532683,479931,32,b'2023-10'
ALAMEDA,2023,3,4571444,1413513,1534616,493407,33,b'2023-10'
ALAMEDA,2023,4,4585802,1414200,1535923,506274,34,b'2023-10'
ALAMEDA,2023,5,4616949,1414500,1537439,535947,35,b'2023-10'
ALAMEDA,2023,6,4635188,1414744,1538822,552862,36,b'2023-10'
ALAMEDA,2023,7,4646469,1414949,1539942,563072,37,b'2023-10'
ALAMEDA,2023,8,4658935,1415186,1541128,574545,38,b'2023-10'
ALAMEDA,2023,9,4661606,1415235,1541381,576884,39,b'2023-10'
ALL CA COUNTIES,2020,1,1,0,1,0,40,b'2020-10'
ALL CA COUNTIES,2020,7,43,0,43,0,41,b'2020-10'
ALL CA COUNTIES,2020,8,1031,73,956,0,42,b'2020-10'
ALL CA COUNTIES,2020,9,2927,1100,1824,0,43,b'2020-10'
ALL CA COUNTIES,2020,10,3802,1542,2290,0,44,b'2020-10'
ALL CA COUNTIES,2020,11,4715,1977,3020,0,45,b'2020-10'
ALL CA COUNTIES,2020,12,556967,3112,554154,2,46,b'2020-10'
ALL CA COUNTIES,2021,1,3881405,673051,3201477,20,47,b'2021-10'
ALL CA COUNTIES,2021,2,10028625,3317858,6684345,35,48,b'2021-10'
ALL CA COUNTIES,2021,3,20271345,7795507,12871558,96,49,b'2021-11'
ALL CA COUNTIES,2021,4,31917745,13912853,19037990,187,50,b'2021-11'
ALL CA COUNTIES,2021,5,39014916,18553969,21669532,274,51,b'2021-11'
ALL CA COUNTIES,2021,6,42477438,20827023,22995264,341,52,b'2021-11'
