Date,Location,Demographic_Category,census,Up_to_date,Up_to_date_pct_agegroup
09/13/2023,AK,Female_Ages_12-17_yrs,27938,2697,9.7
09/13/2023,AK,Female_Ages_75+_yrs,16346,7344,44.9
09/13/2023,AK,Male_Ages_12-17_yrs,29377,2598,8.8
09/13/2023,CA,Male_Ages_65+_yrs,2602393,1331083,51.1
09/13/2023,CT,Male_Ages_65+_yrs,276002,175897,63.7
09/13/2023,DE,Ages_75+_yrs,76048,,
09/13/2023,HI,Female_Ages_2-4_yrs,25076,519,2.1
09/13/2023,IA,Female_Ages_65-74_yrs,161188,89956,55.8
09/13/2023,ID,Ages_12-17_yrs,156543,,
09/13/2023,ID,Female_Ages_<2yrs,21589,,
09/13/2023,KS,Sex_Male,1451697,210831,14.5
09/13/2023,KY,Ages_<2yrs,107266,812,0.8
09/13/2023,LA,Female_Ages_<5yrs,148092,130,0.1
09/13/2023,LA,Male_Ages_18-24_yrs,212917,4198,2
09/13/2023,MA,Ages_<5yrs,357362,15956,4.5
09/13/2023,MN,Female_Ages_2-4_yrs,105299,4116,3.9
09/13/2023,MN,Female_Ages_<5yrs,171623,7963,4.6
09/13/2023,MP,Female_Ages_5-11_yrs,2685,199,7.4
09/13/2023,MS,Female_Ages_12-17_yrs,119286,2126,1.8
09/13/2023,MT,Male_Ages_5-11_yrs,46317,1743,3.8
09/13/2023,ND,Ages_5-11_yrs,70715,3728,5.3
09/13/2023,NJ,Female_Ages_65+_yrs,837393,339644,40.6
09/13/2023,NM,Ages_40-49_yrs,236684,48710,20.6
09/13/2023,NY,Male_Ages_65+_yrs,1422971,630656,44.3
09/13/2023,OK,Female_Ages_75+_yrs,155196,58981,38
09/13/2023,PW,Ages_2-4_yrs,684,,
09/13/2023,PW,Ages_65+_yrs,1992,,
09/13/2023,RI,Ages_12-17_yrs,72625,10018,13.8
09/13/2023,RI,Female_Ages_50-64_yrs,114942,38060,33.1
09/13/2023,SD,Ages_18-24_yrs,82396,6250,7.6
09/13/2023,AK,Ages_<5yrs,51080,301,0.6
09/13/2023,AL,Ages_<5yrs,294357,633,0.2
09/13/2023,AL,Male_Ages_<5yrs,149715,309,0.2
09/13/2023,AZ,Female_Ages_75+_yrs,305194,127751,41.9
09/13/2023,AZ,Male_Ages_2-4_yrs,135165,723,0.5
09/13/2023,CA,Ages_18-24_yrs,3678035,450948,12.3
09/13/2023,CA,Ages_25-39_yrs,8833526,1383386,15.7
09/13/2023,CO,Female_Ages_65-74_yrs,272545,147744,54.2
09/13/2023,CO,Male_Ages_2-4_yrs,103260,3242,3.1
09/13/2023,CT,Ages_<2yrs,70167,1251,1.8
09/13/2023,CT,Male_Ages_5-11_yrs,141616,9433,6.7
09/13/2023,GU,Female_Ages_<2yrs,3039,,
09/13/2023,GU,Male_Ages_25-39_yrs,17103,1732,10.1
09/13/2023,ID,Ages_2-4_yrs,71727,,
09/13/2023,ID,Male_Ages_12-17_yrs,80187,,
09/13/2023,IL,Ages_75+_yrs,867199,456327,52.6
09/13/2023,IN,Male_Ages_25-39_yrs,662656,34890,5.3
09/13/2023,IN,Sex_Unknown,,2093,
09/13/2023,KY,Male_Ages_5-11_yrs,199392,4556,2.3
09/13/2023,MH,Female_Ages_12-17_yrs,4828,719,14.9
09/13/2023,MH,Female_Ages_75+_yrs,529,42,7.9
09/13/2023,MH,Male_Ages_12-17_yrs,5012,790,15.8
09/13/2023,MI,Female_Ages_25-49_yrs,1539563,209834,13.6
09/13/2023,MI,Female_Ages_65-74_yrs,547810,257444,47
09/13/2023,MN,Sex_Male,2809811,707564,25.2
09/13/2023,MO,Female_Ages_<5yrs,179498,3065,1.7
09/13/2023,MP,Female_Ages_18-24_yrs,2617,203,7.8
09/13/2023,NH,Female_Ages_5-11_yrs,47424,3581,7.6
09/13/2023,NM,Male_Ages_12-17_yrs,84447,10043,11.9
09/13/2023,NV,Ages_<5yrs,185575,975,0.5
09/13/2023,NY,Male_Ages_65-74_yrs,855245,362382,42.4
09/13/2023,OR,Ages_25-49_yrs,1434874,270027,18.8
09/13/2023,OR,Ages_50-64_yrs,787199,214302,27.2
09/13/2023,PA,Female_Ages_50-64_yrs,1351714,,
09/13/2023,PA,Male_Ages_2-4_yrs,217791,,
09/13/2023,PA,Male_Ages_<5yrs,357089,,
09/13/2023,PR,Female_Ages_5-11_yrs,112583,,
09/13/2023,PW,Male_Ages_5-11_yrs,900,,
09/13/2023,SC,Female_Ages_65-74_yrs,308489,,
09/13/2023,SD,Female_Ages_25-39_yrs,82026,10158,12.4
09/13/2023,TN,Ages_<2yrs,160819,73,0
09/13/2023,TN,Male_Ages_65+_yrs,506419,164557,32.5
09/13/2023,TX,Ages_65-74_yrs,2245028,251862,11.2
09/13/2023,VT,Male_Ages_2-4_yrs,9212,561,6.1
09/13/2023,WA,Female_Ages_<2yrs,85990,5274,6.1
09/13/2023,WI,Female_Ages_65+_yrs,551889,,
09/13/2023,SD,Male_Ages_25-39_yrs,89937,7163,8
09/13/2023,VA,Female_Ages_12-17_yrs,309894,38901,12.6
09/13/2023,VI,Female_Ages_25-49_yrs,16769,324,1.9
09/13/2023,VT,Female_Ages_40-49_yrs,36154,12516,34.6
09/13/2023,WI,Male_Ages_5-11_yrs,251776,,
09/13/2023,WV,Ages_25-39_yrs,320417,17451,5.4
09/13/2023,AL,Female_Ages_<2yrs,56400,178,0.3
09/13/2023,AL,Male_Ages_5-11_yrs,215062,1264,0.6
09/13/2023,AZ,Male_Ages_18-24_yrs,358462,23451,6.5
09/13/2023,DE,Ages_12-17_yrs,69615,,
09/13/2023,FL,Ages_25-49_yrs,6740370,435357,6.5
09/13/2023,FL,Male_Ages_<5yrs,582738,2154,0.4
09/13/2023,GA,Male_Ages_25-49_yrs,1751826,114474,6.5
09/13/2023,HI,Ages_25-49_yrs,465933,71108,15.3
09/13/2023,IA,Ages_65+_yrs,552954,311475,56.3
09/13/2023,ID,Ages_5-11_yrs,175458,,
09/13/2023,IL,Male_Ages_65-74_yrs,547812,267706,48.9
09/13/2023,IN,Female_Ages_65+_yrs,605113,205310,33.9
09/13/2023,KS,Female_Ages_<2yrs,34734,642,1.8
09/13/2023,KS,Sex_Unknown,,864,
09/13/2023,KY,Male_Ages_12-17_yrs,174626,7637,4.4
09/13/2023,LA,Female_Ages_18-24_yrs,206126,6826,3.3
09/13/2023,MA,Ages_75+_yrs,496027,345492,69.7
09/13/2023,MN,Male_Ages_18-24_yrs,251901,25874,10.3
09/13/2023,MP,Female_Ages_65-74_yrs,1382,320,23.2
09/13/2023,MT,Male_Ages_<2yrs,11921,49,0.4
09/13/2023,NC,Female_Ages_<5yrs,297923,3965,1.3
09/13/2023,ND,Female_Ages_25-39_yrs,76313,8820,11.6
